run_id,L,n,k,code_seed,train_seeds,n_train,er,e_model,n_type,partition_axis,cut,n_points,MI,MI_std_across_train_seeds,MI_min,MI_max,bootstrap_std_mean,source_type,source_path,include_in_recommended_fit,notes
p8_made_plateau_even,8,128,2,0,,,0.05,dep,made,x,4,1,1.765041351,0.000000000,1.765041351,1.765041351,0.069669834,historical_tracked_summary,net/mi_scaling/p8_made_plateau_even/mi_vs_L.json,no,source file is deleted in working tree; value recovered from pre-cleanup tracked history
p8_made_plateau_long_468,8,128,2,0,,,0.05,dep,made,x,4,1,1.866651535,0.000000000,1.866651535,1.866651535,0.044885052,historical_tracked_summary,net/mi_scaling/p8_made_plateau_long_468/mi_vs_L.json,no,previous recommended fit point; source file is deleted in working tree; value recovered from pre-cleanup tracked history; superseded by p18_l8_ntrain400k 8-seed result
p8_made_plateau_longmix_even,8,128,2,0,,,0.05,dep,made,x,4,1,1.866651535,0.000000000,1.866651535,1.866651535,0.044885052,historical_tracked_summary,net/mi_scaling/p8_made_plateau_longmix_even/mi_vs_L.json,no,source file is deleted in working tree; value recovered from pre-cleanup tracked history; duplicates long_468 values for L=4/6/8 and 40k_eval values for L=10/12
p18_l8_ntrain400k,8,128,2,0,"1,2,3,4,5,6,7,8",400000,0.05,dep,made,x,4,8,2.640582085,0.132980725,2.487810135,2.808210373,0.050881193,current_multi_seed_mean,net/mi_scaling/p18_l8_ntrain400k/results/*.json,yes,recommended fit point; clean 8-seed L8 ntrain400k recheck with cv=0.050360; mean is substantially above previous historical L8 point
p8_made_even,10,200,2,0,,,0.05,dep,made,x,5,1,0.986747742,0.000000000,0.986747742,0.986747742,0.079281535,historical_tracked_summary,net/mi_scaling/p8_made_even/mi_vs_L.json,no,source file is deleted in working tree; value recovered from pre-cleanup tracked history
p8_made_plateau_40k_eval,10,200,2,0,,,0.05,dep,made,x,5,1,3.395238876,0.000000000,3.395238876,3.395238876,0.059514612,historical_tracked_summary,net/mi_scaling/p8_made_plateau_40k_eval/mi_vs_L.json,no,source file is deleted in working tree; value recovered from pre-cleanup tracked history
p8_made_plateau_even,10,200,2,0,,,0.05,dep,made,x,5,1,3.377933502,0.000000000,3.377933502,3.377933502,0.082536090,historical_tracked_summary,net/mi_scaling/p8_made_plateau_even/mi_vs_L.json,no,source file is deleted in working tree; value recovered from pre-cleanup tracked history
p8_made_plateau_longmix_even,10,200,2,0,,,0.05,dep,made,x,5,1,3.395238876,0.000000000,3.395238876,3.395238876,0.059514612,historical_tracked_summary,net/mi_scaling/p8_made_plateau_longmix_even/mi_vs_L.json,no,source file is deleted in working tree; value recovered from pre-cleanup tracked history; duplicates long_468 values for L=4/6/8 and 40k_eval values for L=10/12
p9_largeL_ntrain200k,10,200,2,0,"1,2,3,4,5,6,7,8",200000,0.05,dep,made,x,5,8,3.689559221,0.265208993,3.179552078,4.007328033,0.063953495,current_multi_seed_mean,net/mi_scaling/p9_largeL_ntrain200k/results/*.json,no,previous recommended L10 bridge point; superseded by clean p26 ntrain400k rerun
p26_l10_l12_made_depth0_width64_ntrain400k,10,200,2,0,"1,2,3,4,5,6,7,8",400000,0.05,dep,made,x,5,8,3.557083607,0.190859754,3.270196915,3.816570282,0.063399924,current_multi_seed_mean,net/mi_scaling/p26_l10_l12_made_depth0_width64_ntrain400k/results/*.json,yes,recommended fit point; clean 8-seed L10 ntrain400k rerun; supersedes p9 L10 ntrain200k bridge row
p8_made_even,12,288,2,0,,,0.05,dep,made,x,6,1,1.280559540,0.000000000,1.280559540,1.280559540,0.099663941,historical_tracked_summary,net/mi_scaling/p8_made_even/mi_vs_L.json,no,source file is deleted in working tree; value recovered from pre-cleanup tracked history
p8_made_plateau_40k_eval,12,288,2,0,,,0.05,dep,made,x,6,1,4.691066742,0.000000000,4.691066742,4.691066742,0.069457444,historical_tracked_summary,net/mi_scaling/p8_made_plateau_40k_eval/mi_vs_L.json,no,source file is deleted in working tree; value recovered from pre-cleanup tracked history
p8_made_plateau_even,12,288,2,0,,,0.05,dep,made,x,6,1,4.638305664,0.000000000,4.638305664,4.638305664,0.098755463,historical_tracked_summary,net/mi_scaling/p8_made_plateau_even/mi_vs_L.json,no,source file is deleted in working tree; value recovered from pre-cleanup tracked history
p8_made_plateau_longmix_even,12,288,2,0,,,0.05,dep,made,x,6,1,4.691066742,0.000000000,4.691066742,4.691066742,0.069457444,historical_tracked_summary,net/mi_scaling/p8_made_plateau_longmix_even/mi_vs_L.json,no,source file is deleted in working tree; value recovered from pre-cleanup tracked history; duplicates long_468 values for L=4/6/8 and 40k_eval values for L=10/12
p9_largeL_ntrain200k,12,288,2,0,"1,2,3,4,5,6,7,8",200000,0.05,dep,made,x,6,8,5.384723663,0.321396209,4.908905029,6.006649017,0.073780265,current_multi_seed_mean,net/mi_scaling/p9_largeL_ntrain200k/results/*.json,no,previous recommended L12 bridge point; superseded by clean p26 ntrain400k rerun
p26_l10_l12_made_depth0_width64_ntrain400k,12,288,2,0,"1,2,3,4,5,6,7,8",400000,0.05,dep,made,x,6,8,4.921826839,0.210903132,4.661426544,5.297519684,0.073676726,current_multi_seed_mean,net/mi_scaling/p26_l10_l12_made_depth0_width64_ntrain400k/results/*.json,yes,recommended fit point; clean 8-seed L12 ntrain400k rerun; supersedes p9 L12 ntrain200k bridge row
p17_l14_ntrain400k,14,392,2,0,"1,2,3,4,5,6,7,8",400000,0.05,dep,made,x,7,8,6.074063778,0.313906723,5.563480377,6.552925110,0.088458206,current_multi_seed_mean,net/mi_scaling/p17_l14_ntrain400k/results/*.json,yes,recommended fit point; clean 8-seed L14 result with cv=0.051680 but mean sits below L12-L16 interpolation
p27_l14_made_depth0_width64_seed9to16_ntrain400k,14,392,2,0,"9,10,11,12,13,14,15,16",400000,0.05,dep,made,x,7,8,6.128159523,0.418272700,5.341743469,6.781536102,0.089858636,current_multi_seed_mean,net/mi_scaling/p27_l14_made_depth0_width64_seed9to16_ntrain400k/results/*.json,no,diagnostic L14 stability seed block; clean 8-seed depth0 width64 ntrain400k run; mean is consistent with p17 but seed spread is larger
p17_p27_l14_combined_depth0_width64_ntrain400k,14,392,2,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",400000,0.05,dep,made,x,7,16,6.101111650,0.358341715,5.341743469,6.781536102,0.089158421,diagnostic_combined_aggregate,net/mi_scaling/p17_l14_ntrain400k/results/*.json + net/mi_scaling/p27_l14_made_depth0_width64_seed9to16_ntrain400k/results/*.json,no,combined p17+p27 L14 diagnostic only; keep p17 as recommended row unless an explicit combined-aggregate policy is adopted
p12_l16_ntrain300k,16,512,2,0,"1,2,3,4,5,6,7,8",300000,0.05,dep,made,x,8,8,8.114293098,0.514214671,7.422393799,9.086853027,0.092205959,current_multi_seed_mean,net/mi_scaling/p12_l16_ntrain300k/results/*.json,no,previous recommended fit point; superseded by p16_l16_ntrain400k 8-seed result
p15_l16_ntrain400k,16,512,2,0,"1,2",400000,0.05,dep,made,x,8,2,8.123027802,0.470571924,7.790283203,8.455772400,0.094528680,current_multi_seed_mean,net/mi_scaling/p15_l16_ntrain400k/results/*.json,no,partial 2-seed comparison only; seed 3 incomplete
p16_l16_ntrain400k,16,512,2,0,"1,2,3,4,5,6,7,8",400000,0.05,dep,made,x,8,8,8.133990288,0.382951753,7.502388000,8.543914795,0.094498810,current_multi_seed_mean,net/mi_scaling/p16_l16_ntrain400k/results/*.json,yes,recommended fit point; clean 8-seed ntrain400k result with lower seed spread than p12
p19_l18_ntrain400k_pilot,18,648,2,0,"1,2,3,4,5,6,7,8",400000,0.05,dep,made,x,9,8,9.573410988,0.574411020,8.760047913,10.379699707,0.104420142,current_multi_seed_mean,net/mi_scaling/p19_l18_ntrain400k_pilot/results/*.json,yes,provisional recommended fit point; completed 8-seed L18 pilot with cv=0.060001 at the usable-baseline gate; seed 5 BA training showed abnormal late-epoch NLL and seed 5 MI is high
p19_l18_failed_seed5_excluded,18,648,2,0,"1,2,3,4,6,7,8",400000,0.05,dep,made,x,9,7,9.458226885,0.510989725,8.760047913,10.334045410,0.105828442,diagnostic_failed_excluded_aggregate,net/mi_scaling/p19_l18_ntrain400k_pilot/results/*.json,no,sensitivity aggregate excluding p19 seed 5 due to objective BA late-NLL training failure; not promoted to recommended fit
p19_l18_failed5_high7_excluded,18,648,2,0,"1,2,3,4,6,8",400000,0.05,dep,made,x,9,6,9.312257131,0.366541101,8.760047913,9.807640076,0.106169435,diagnostic_robust_sensitivity_aggregate,net/mi_scaling/p19_l18_ntrain400k_pilot/results/*.json,no,robust sensitivity aggregate excluding failed seed 5 and high clean seed 7; diagnostic only because high clean seeds are kept by formal policy
p20_l18_seed5_rerun_ntrain400k,18,648,2,0,5,400000,0.05,dep,made,x,9,1,10.379699707,0.000000000,10.379699707,10.379699707,0.094562041,diagnostic_single_seed_rerun,net/mi_scaling/p20_l18_seed5_rerun_ntrain400k/results/*.json,no,seed-5 rerun under new run id; exactly reproduces p19 seed-5 MI and BA training failure; diagnostic row only
p21_l18_replace_seed5_ntrain400k,18,648,2,0,9,400000,0.05,dep,made,x,9,1,10.953155518,0.000000000,10.953155518,10.953155518,0.104264344,diagnostic_single_seed_replacement,net/mi_scaling/p21_l18_replace_seed5_ntrain400k/results/*.json,no,replacement train seed 9 for failed seed 5; clean AB/BA training but higher MI; diagnostic row only
p21_l18_seed5_replaced_by_seed9,18,648,2,0,"1,2,3,4,9,6,7,8",400000,0.05,dep,made,x,9,8,9.645092964,0.709338037,8.760047913,10.953155518,0.105632929,diagnostic_replacement_aggregate,"net/mi_scaling/p19_l18_ntrain400k_pilot/results/*.json; net/mi_scaling/p21_l18_replace_seed5_ntrain400k/results/*.json",no,replacement aggregate excluding failed p19 seed 5 and using p21 seed 9; cv=0.073544 so not promoted to recommended fit
p22_l18_more_replacement_seeds_ntrain400k,18,648,2,0,10,400000,0.05,dep,made,x,9,1,10.672576904,0.000000000,10.672576904,10.672576904,0.105355518,diagnostic_single_seed_replacement,net/mi_scaling/p22_l18_more_replacement_seeds_ntrain400k/results/made_tor_n648_d18_k2_seed0_er0.05_dep_tseed10_xmid.json,no,p22 replacement seed 10; clean AB/BA training but high MI; diagnostic row only
p22_l18_more_replacement_seeds_ntrain400k,18,648,2,0,11,400000,0.05,dep,made,x,9,1,9.114868164,0.000000000,9.114868164,9.114868164,0.103321275,diagnostic_single_seed_replacement,net/mi_scaling/p22_l18_more_replacement_seeds_ntrain400k/results/made_tor_n648_d18_k2_seed0_er0.05_dep_tseed11_xmid.json,no,p22 replacement seed 11; BA late-NLL training failure reaches 1e3+; diagnostic row only
p22_l18_more_replacement_seeds_ntrain400k,18,648,2,0,12,400000,0.05,dep,made,x,9,1,11.237228394,0.000000000,11.237228394,11.237228394,0.104359854,diagnostic_single_seed_replacement,net/mi_scaling/p22_l18_more_replacement_seeds_ntrain400k/results/made_tor_n648_d18_k2_seed0_er0.05_dep_tseed12_xmid.json,no,p22 replacement seed 12; clean AB/BA training but very high MI; diagnostic row only
p22_l18_more_replacement_seeds_ntrain400k,18,648,2,0,13,400000,0.05,dep,made,x,9,1,10.789398193,0.000000000,10.789398193,10.789398193,0.104906448,diagnostic_single_seed_replacement,net/mi_scaling/p22_l18_more_replacement_seeds_ntrain400k/results/made_tor_n648_d18_k2_seed0_er0.05_dep_tseed13_xmid.json,no,p22 replacement seed 13; clean AB/BA training but high MI; diagnostic row only
p22_l18_all_seeds,18,648,2,0,"10,11,12,13",400000,0.05,dep,made,x,9,4,10.453517914,0.925020301,9.114868164,11.237228394,0.104485774,diagnostic_multi_seed_mean,net/mi_scaling/p22_l18_more_replacement_seeds_ntrain400k/results/*.json,no,p22 additional-seed aggregate including failed seed 11; cv=0.088489; diagnostic row only
p22_l18_clean_only,18,648,2,0,"10,12,13",400000,0.05,dep,made,x,9,3,10.899734497,0.298057714,10.672576904,11.237228394,0.104873940,diagnostic_clean_seed_aggregate,net/mi_scaling/p22_l18_more_replacement_seeds_ntrain400k/results/*.json,no,p22 clean-only aggregate excluding seed 11 BA late-NLL failure; clean seeds are all high-MI; diagnostic row only
p22_l18_seed5_replaced_by_seed10,18,648,2,0,"1,2,3,4,10,6,7,8",400000,0.05,dep,made,x,9,8,9.610020638,0.638858158,8.760047913,10.672576904,0.105769326,diagnostic_replacement_aggregate,"net/mi_scaling/p19_l18_ntrain400k_pilot/results/*.json; net/mi_scaling/p22_l18_more_replacement_seeds_ntrain400k/results/made_tor_n648_d18_k2_seed0_er0.05_dep_tseed10_xmid.json",no,replacement aggregate excluding failed p19 seed 5 and using first clean p22 seed 10 by train-seed order; cv=0.066478 so not promoted
p22_l18_all_clean_p19_p21_p22,18,648,2,0,"1,2,3,4,6,7,8,9,10,12,13",400000,0.05,dep,made,x,9,11,9.987267928,0.844645211,8.760047913,11.237228394,0.105425932,diagnostic_all_clean_aggregate,"net/mi_scaling/p19_l18_ntrain400k_pilot/results/*.json; net/mi_scaling/p21_l18_replace_seed5_ntrain400k/results/*.json; net/mi_scaling/p22_l18_more_replacement_seeds_ntrain400k/results/*.json",no,all clean p19/p21/p22 L18 seeds excluding objective training failures p19 seed 5 and p22 seed 11; cv=0.084572 supports heavy-tail interpretation
p24_l18_arch_pilot_depth1_width8_ntrain400k,18,648,2,0,"10,11,12,13",400000,0.05,dep,made,x,9,4,9.484302521,0.494612000,8.838172913,9.914245605,0.109292000,diagnostic_architecture_pilot,net/mi_scaling/p24_l18_arch_pilot_depth1_width8_ntrain400k/results/*.json,no,depth1 width8 architecture pilot; all seeds pass late-NLL rule; cv=0.052151; diagnostic row only pending larger predeclared seed block
p25_l18_arch_depth1_width8_seeds1to8_ntrain400k,18,648,2,0,"1,2,3,4,5,6,7,8",400000,0.05,dep,made,x,9,8,9.329876900,0.893454491,7.852447510,10.777229309,0.105487480,diagnostic_architecture_seed_block,net/mi_scaling/p25_l18_arch_depth1_width8_seeds1to8_ntrain400k/results/*.json,no,depth1 width8 predeclared p19-comparable seed block; all seeds pass late-NLL rule but cv=0.095763 so not promoted
p28_l18_made_depth0_width64_ntrain1000k_rerun,18,648,2,0,"1,2,3,5",1000000,0.05,dep,made,x,9,4,7.385063171,1.628576822,5.670700073,8.816757202,0.098748063,diagnostic_failed_pilot,net/mi_scaling/p28_l18_made_depth0_width64_ntrain1000k_rerun/results/*.json,no,ntrain1000k same-architecture pilot; all four pilot seeds fail late-NLL rule in AB and BA; cv=0.220523; stop without extension
p31_l18_made_depth0_width64_ntrain400k_batch1024_lr5e4_clip_pilot,18,648,2,0,"1,2,3,5",400000,0.05,dep,made,x,9,4,8.067623138,0.968597616,6.855270386,9.218261719,0.101759538,diagnostic_optimizer_pilot,net/mi_scaling/p31_l18_made_depth0_width64_ntrain400k_batch1024_lr5e4_clip_pilot/results/*.json,no,batch1024 lr5e-4 gradclip warmup pilot; no objective late-NLL failures but cv=0.120060 and LR warmup bug reset ReduceLROnPlateau reductions; diagnostic only
p32_l18_made_depth0_width64_ntrain400k_batch1024_lr5e4_fixedlr_pilot,18,648,2,0,"1,2,3,5",400000,0.05,dep,made,x,9,4,8.132694244,0.284403924,7.819458008,8.509643555,0.104555521,diagnostic_optimizer_pilot,net/mi_scaling/p32_l18_made_depth0_width64_ntrain400k_batch1024_lr5e4_fixedlr_pilot/results/*.json,no,fixed warmup/LR scheduler pilot after p31; no objective late-NLL failures and cv=0.034970 passes continuation gate; diagnostic only pending seeds 4,6,7,8
p32_l18_made_depth0_width64_ntrain400k_batch1024_lr5e4_fixedlr_all8,18,648,2,0,"1,2,3,4,5,6,7,8",400000,0.05,dep,made,x,9,8,8.137887955,0.455172912,7.473457336,8.992080688,0.103883264,diagnostic_optimizer_seed_block,net/mi_scaling/p32_l18_made_depth0_width64_ntrain400k_batch1024_lr5e4_fixedlr_pilot/results/*.json,no,fixed warmup/LR scheduler 8-seed block; all seeds pass late-NLL rule and cv=0.055933 but not promoted because endpoint-only protocol substitution would mix training protocols
